City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Najran,SA,17.4924,44.1277,79.45,48,100,5.5,overcast clouds
176,Kavaratti,IN,10.5669,72.642,81.41,76,48,16.08,scattered clouds
177,Tigil,RU,57.8,158.6667,62.4,52,95,4.81,overcast clouds
178,Yar-Sale,RU,66.8333,70.8333,46.54,87,53,15.23,broken clouds
179,College,US,64.8569,-147.8028,74.59,54,75,11.5,broken clouds
180,Zhetysay,KZ,40.7333,68.3,78.57,27,0,5.48,clear sky
181,Great Yarmouth,GB,52.6083,1.7305,63.41,90,44,16.55,scattered clouds
182,Iqaluit,CA,63.7506,-68.5145,47.93,81,20,10.36,few clouds
183,Omsukchan,RU,62.5333,155.8,67.86,36,49,8.75,scattered clouds
184,Chumikan,RU,54.7183,135.315,55.47,88,99,4.72,overcast clouds
185,Alyangula,AU,-13.8483,136.4192,66.07,94,40,0.0,scattered clouds
186,Sterling,US,39.0062,-77.4286,80.89,90,75,7.0,broken clouds
187,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,20,5.99,few clouds
188,Lompoc,US,34.6391,-120.4579,87.01,71,0,13.8,clear sky
189,Khani,GE,41.9563,42.9566,53.17,86,1,4.05,clear sky
190,Aklavik,CA,68.2191,-135.0107,75.07,37,36,15.21,scattered clouds
191,Kahului,US,20.8947,-156.47,86.02,65,20,25.32,few clouds
192,Kulhudhuffushi,MV,6.6221,73.07,81.23,80,100,15.84,overcast clouds
193,Saint George,US,37.1041,-113.5841,79.39,50,100,21.85,thunderstorm
194,Kirkwall,GB,58.9848,-2.9587,50.97,87,75,11.5,broken clouds
195,Kavieng,PG,-2.5744,150.7967,82.56,78,20,16.24,light rain
196,Dumas,US,35.8656,-101.9732,96.94,20,0,11.5,clear sky
197,Luderitz,NA,-26.6481,15.1594,57.09,77,25,9.86,scattered clouds
198,Salalah,OM,17.0151,54.0924,76.1,97,100,8.41,light rain
199,Butterworth,MY,5.3991,100.3638,78.84,93,20,3.44,few clouds
200,Half Moon Bay,US,37.4636,-122.4286,81.41,70,100,18.41,overcast clouds
201,Vao,NC,-22.6667,167.4833,69.4,71,40,15.17,scattered clouds
202,Bonthe,SL,7.5264,-12.505,75.04,78,83,6.42,broken clouds
203,Shingu,JP,33.7333,135.9833,83.53,71,88,1.19,overcast clouds
204,El Alto,PE,-4.2714,-81.2147,67.66,81,20,20.78,few clouds
205,Port Hedland,AU,-20.3167,118.5667,60.85,44,40,11.5,scattered clouds
206,Bilibino,RU,68.0546,166.4372,52.45,46,28,7.67,scattered clouds
207,San Juan De La Maguana,DO,18.8059,-71.2299,77.5,81,30,3.96,scattered clouds
208,Pisco,PE,-13.7,-76.2167,60.85,88,40,6.91,scattered clouds
209,Polunochnoye,RU,60.8697,60.4153,53.46,70,97,4.47,overcast clouds
210,Mayo,US,38.8876,-76.5119,82.15,88,95,3.0,overcast clouds
211,Vossevangen,NO,60.623,6.4229,54.54,98,100,6.02,overcast clouds
212,Coihaique,CL,-45.5752,-72.0662,30.15,86,40,4.61,scattered clouds
213,Castro,BR,-24.7911,-50.0119,60.37,72,94,2.33,overcast clouds
214,Afyonkarahisar,TR,38.75,30.6667,62.44,52,0,5.97,clear sky
215,Bredasdorp,ZA,-34.5322,20.0403,47.01,73,0,4.47,clear sky
216,Haines Junction,CA,60.7522,-137.5108,71.55,49,99,11.5,overcast clouds
217,Empalme,MX,27.9667,-110.8167,92.35,53,11,12.44,few clouds
218,Sidi Ali,DZ,36.0998,0.4206,81.43,36,38,2.57,scattered clouds
219,West Bay,KY,19.3667,-81.4167,88.07,73,20,9.22,few clouds
220,Severo-Kurilsk,RU,50.6789,156.125,53.42,85,100,10.2,overcast clouds
221,Pevek,RU,69.7008,170.3133,37.45,77,91,10.38,overcast clouds
